"module","question_number","passage","prompt","option_a","option_b","option_c","option_d","correct_answer","image_url"
"2","14","In an analysis of medieval urbanization in Pisa, Greifswald, and other European settlements, researchers drew on modern urban scaling theory, which posits that population density in core urban areas increases as a city grows larger. Hypothesizing that this typical relationship would have differed in medieval settlements because of the constraining influence of strong hierarchical social structures (which are much less pronounced in modern cities) on social networking and economic integration—drivers of urban agglomeration—the team created a model that accounted for the presence of restrictive institutions. They found that the typically expected density-size relationship held for each of the 173 medieval settlements whose growth they analyzed, suggesting that ______.","Which choice most logically completes the text?","although there tends to be a positive relationship between population size and development of core urban areas for both medieval settlements and modern cities, social institutions likely limited the rate at which population density increased in medieval settlements.","despite a change in the role of social structures over time, there is likely a notable consistency between medieval settlements and modern cities in underlying elements of the social and economic interactions among individuals that shape the development of core urban areas.","the social and economic dynamics that affect urban agglomeration were likely much different in medieval settlements than in modern cities, despite the similarity across time in population density patterns.","the constraining influence of hierarchical medieval institutions likely had a significant effect on individuals in some social groupings but little to no effect on members of other social groupings.","1",""
"2","15","Painter Georgette ______ for incorporating everyday objects from her Singaporean environment—such as lanterns, mooncakes, and tropical fruits—into her still-life compositions, was a pivotal figure in the mid-twentieth-century Nanyang art movement, which sought to blend European painting traditions (including still life) with elements of Southeast Asian cultures and art.","Which choice completes the text so that it conforms to the conventions of Standard English?","Chen, was known","Chen, known","Chen was known","Chen is known","1",""
"2","16","“Streetwide and bitter as hope / strewn between El Salvador and San Francisco.” These lines are from a poem by Chicano ______ whose early career as a campesino informs the dialogue on Mexican American politics and identity that unfolds in his work.","Which choice completes the text so that it conforms to the conventions of Standard English?","writer Juan Felipe Herrera,","writer, Juan Felipe Herrera","writer, Juan Felipe Herrera,","writer Juan Felipe Herrera","1",""
"2","17","Los Angeles–based artist Henry Taylor's large, vibrant paintings of prominent Black figures such as Olympian Alice Coachman (See Alice Jump, 2011) and artist David Hammons (Hammons meets a hyena on holiday, ______ celebrated by admirers of twenty-first-century portraiture, attracted legions of new fans in 2024 when they were included in a popular Taylor retrospective at the Whitney Museum.","Which choice completes the text so that it conforms to the conventions of Standard English?","2016), long","2016) were long","2016) have long been","2016), had long been","1",""
"2","18","Among the small magazines animating Boston’s vibrant literary scene in the early twentieth century was ______ by William Stanley Braithwaite and featuring poetry by John Gould Fletcher, Louis Untermeyer, and Richard Aldington; essays by Amy Lowell and Jeanette Marks; and reviews of recent books, this magazine publicized the work of influential avant-garde writers and artists of the day.","Which choice completes the text so that it conforms to the conventions of Standard English?","the Poetry Review of America. Edited","the Poetry Review of America; edited","the Poetry Review of America, edited","the Poetry Review of America edited","1",""
"2","19","Reena Esmail's classical composition “Summitless Mountains” incorporates a raag, a melodic framework used in Hindustani classical music, called Raag Chandrakauns. Often, interplay between the raag's designated vadi and samvadi (the first- and second-most important notes, respectively) and its prescribed melodic sequences ______ an unsettled mood.","Which choice completes the text so that it conforms to the conventions of Standard English?","have evoked","evoke","evokes","evoking","1",""
"2","20","Archived within the storied libraries of Timbuktu, a West African city prominent during the Songhai Empire, is The Pearls Leading to Accepted Guidance, one of the city's hundreds of thousands of historical manuscripts, each of which ______ researchers insight into Timbuktu's tenure as a center of trade and education.","Which choice completes the text so that it conforms to the conventions of Standard English?","are offering","offer","offering","offers","1",""
"2","21","As anthropologist Cristina Grasseni explains, many artisanal cheeses in Italy, such as Provolone Valpadana from Trentino-Alto Adige and Ragusano from Sicily, are highly valued for their regional authenticity; ______ they are prized for being made using local ingredients and methods typical of their respective geographic regions.","Which choice completes the text with the most logical transition?","that is,","still,","rather,","then,","1",""
"2","22","The moon Leda orbits Jupiter in the same direction that the planet rotates. ______ Leda’s orbit is described as prograde. Ananke, another of Jupiter’s moons, orbits in the opposite direction, so its orbit is described with the opposite term: retrograde.","Which choice completes the text with the most logical transition?","In reality,","Nevertheless,","Hence,","Next,","1",""
"2","23","For several centuries after the birth of opera in sixteenth-century Florence, Italian remained the default language in which most opera scores were written. ______ opera singers today, such as the tenor Lawrence Brownlee, encounter a wide range of Italian terms—from affettuoso (with feeling) to affrettando (at a hurried tempo)—when following many eighteenth-century opera scores.","Which choice completes the text with the most logical transition?","Hence,","Lastly,","Granted,","However,","1",""
"2","24","Srivijaya, a Buddhist sea power based in Sumatra in Indonesia that reached the height of its influence around 800 CE, is classified as a thalassocracy. Thalassocracies are generally considered distinct from tellurocracies, or land-based powers. ______ the British Empire (1600s–1900s CE) notably extended its hegemony across both land and sea.","Which choice completes the text with the most logical transition?","Underscoring this difference,","Exemplifying this distinction,","Supporting this claim,","Blurring this line,","1",""
"2","25","According to climate envelope models, individual organisms that inhabit the coolest areas of their species’ geographic distribution are expected to benefit from a warming climate, while individuals in the warmest areas will struggle. A 2024 University of Arizona study, ______ found that warmer-than-average temperatures resulted in a decrease in growth across all areas of the common piñon tree's distribution range.","Which choice completes the text with the most logical transition?","though,","therefore,","for example,","moreover,","1",""
"2","26","While researching a topic, a student has taken the following notes:

Hyde Park is a 1931 color linocut print by Canadian artist Sybil Andrews.

It depicts a tranquil, everyday scene (a spring day in a city park).

Amanzi Amthatha (“The cold water takes him”) is a 2001 black-and-white linocut print by South African artist Nomathemba Tana.

It features a scene with an explicitly political point of view (a Xhosa warrior fighting British colonial rule).

Relief printing is a technique in which an image is carved onto a printing block, covered in ink or paint, and stamped onto paper.

Lino cutting is a type of relief printing that uses linoleum tile as the printing block.","The student wants to contrast the subject matter of the two prints. Which choice most effectively uses relevant information from the notes to accomplish this goal?","The print by Tana is a black-and-white linocut; by contrast, Andrews's is a relief print.","Tana's print expresses an explicitly political point of view, while Andrews's depicts a tranquil, everyday scene.","Andrews made Hyde Park in 1931, while Tana made Amanzi Amthatha (“The cold water takes him”) later, in 2001.","The scenes depicted in both works were first carved onto a printing block, then stamped onto paper; however, one work is a linocut, while the other is a relief print.","1",""
"2","27","While researching a topic, a student has taken the following notes:

Francis Halzen is a Belgian particle physicist.

Particle physicists study subatomic particles.

Neutrinos are some of the least understood subatomic particles.

Neutrinos were first discovered in the mid-twentieth century.

Halzen is known for his discovery of high-energy astrophysical neutrinos.","The student wants to provide an example of a particle physicist whose research focuses on neutrinos. Which choice most effectively uses relevant information from the notes to accomplish this goal?","The research done on high-energy astrophysical neutrinos exemplifies the work particle physicists do to advance our understanding of subatomic particles.","By studying high-energy astrophysical neutrinos—to name just one example—particle physicists can learn more about neutrinos.","Particle physicist Francis Halzen is known for his discovery of high-energy astrophysical neutrinos.","Neutrinos are a type of subatomic particle that particle physicists are still trying to understand.","1",""
